"","Country","UN Region","IMF[5][6]","GDP_WB","CIA[8]"
"45","Japan'","Asia","48,814",42197,"41,429"
"46","Slovenia'","Europe","48,534",39593,"39,088"
"47","Cyprus'","Asia","48,443",38458,"39,545"
"48","Czech Republic'","Europe","47,527",41737,"40,862"
"49","Lithuania'","Europe","46,479",38735,"37,231"
"50","Spain'","Europe","46,413",38335,"40,903"
"51","Saint Pierre and Miquelon'","Americas","N/A",NA,"46,200"
"52","Estonia'","Europe","44,778",38395,"36,927"
"53","Puerto Rico'","Americas","42,759",35279,"33,400"
"54","Greenland'","Americas","N/A",NA,"41,800"
"55","Poland'","Europe","41,685",34265,"33,221"
"56","Hungary'","Europe","40,944",33084,"32,945"
"57","Portugal'","Europe","40,805",34496,"34,894"
"58","Bahamas'","Americas","40,274",32454,"30,800"
"59","Faroe Islands'","Europe","N/A",NA,"40,000"
"60","Aruba'","Americas","39,508",38897,"37,500"
"61","Slovakia'","Europe","38,620",31832,"32,730"
"62","Guyana'","Americas","38,258",19706,"13,082"
"63","Turkey'","Asia","37,488",28120,"28,424"
"64","Latvia'","Europe","37,330",32019,"30,898"
"65","U'S' Virgin Islands'","Americas","N/A",NA,"37,000"
"66","Romania'","Europe","36,622",31946,"29,941"
"67","Croatia'","Europe","36,201",28504,"28,602"
"68","Panama'","Americas","36,085",26776,"31,459"
"69","Sint Maarten'","Americas","N/A",35977,"35,300"
"70","Guam'","Oceania","N/A",NA,"35,600"
"71","Greece'","Europe","35,596",28464,"29,799"
"72","Oman'","Asia","35,286",28449,"27,299"
"73","Seychelles'","Africa","35,272",25700,"29,223"
"74","British Virgin Islands'","Americas","N/A",NA,"34,200"
"75","Montserrat'","Americas","N/A",NA,"34,000"
"76","Malaysia'","Asia","32,901",27887,"28,364"
"77","New Caledonia'","Oceania","N/A",NA,"31,100"
"78","Kazakhstan'","Asia","30,502",26729,"26,351"
"79","Russia'","Europe","30,013",28213,"27,044"
"80","Trinidad and Tobago'","Americas","29,884",25031,"23,700"
"81","Maldives'","Asia","29,133",13766,"19,531"
"82","Bulgaria'","Europe","28,593",24367,"23,174"
"83","Chile'","Americas","28,526",25068,"24,226"
"84","Saint Kitts and Nevis'","Americas","27,608",24537,"23,300"
"85","Uruguay'","Americas","26,663",22795,"21,561"
"86","Argentina'","Americas","25,822",20768,"22,064"
"87","Mauritius'","Africa","25,043",20539,"22,870"
"88","Montenegro'","Europe","24,878",20567,"21,470"
"89","Northern Mariana Islands'","Oceania","N/A",NA,"24,500"
"90","Costa Rica'","Americas","24,490",21032,"19,700"
"91","Dominican Republic'","Americas","23,983",17937,"17,000"
"92","Serbia'","Europe","23,904",19231,"18,233"
"93","Turks and Caicos Islands","Americas","N/A",22286,"21,100"
"94","Mexico'","Americas","22,216",18833,"19,796"
"95","Antigua and Barbuda'","Americas","21,890",18942,"18,000"
"96","Belarus'","Europe","21,686",20200,"19,150"
"97","Cura'ao'","Americas","N/A",21423,"24,500"
"98","China'","Asia","21,364",17312,"16,117"
"99","Thailand'","Asia","21,057",18236,"18,460"
"100","North Macedonia'","Europe","19,726",16927,"16,479"
"101","Saint Martin'","Americas","N/A",NA,"19,300"
